genome_id,antibiotic,label
1280.15865,ciprofloxacin,S
1280.15865,erythromycin,S
1280.15865,tetracycline,S
1280.15866,ciprofloxacin,S
1280.15866,erythromycin,S
1280.15866,tetracycline,S
1280.15867,ciprofloxacin,S
1280.15867,erythromycin,S
1280.15867,tetracycline,R
1280.15868,ciprofloxacin,S
1280.15868,erythromycin,S
1280.15868,tetracycline,S
1280.15869,ciprofloxacin,S
1280.15869,erythromycin,S
1280.15869,tetracycline,R
1280.15870,ciprofloxacin,S
1280.15870,erythromycin,S
1280.15870,tetracycline,S
1280.15871,ciprofloxacin,S
1280.15871,erythromycin,S
1280.15871,tetracycline,S
1280.15872,ciprofloxacin,S
1280.15872,erythromycin,S
1280.15872,tetracycline,S
1280.15873,ciprofloxacin,S
1280.15873,erythromycin,S
1280.15873,tetracycline,R
1280.15874,ciprofloxacin,S
1280.15874,erythromycin,S
1280.15874,tetracycline,S
1280.15875,ciprofloxacin,S
1280.15875,erythromycin,S
1280.15875,tetracycline,S
1280.15876,ciprofloxacin,S
1280.15876,erythromycin,S
1280.15876,tetracycline,S
1280.15877,ciprofloxacin,S
1280.15877,erythromycin,S
1280.15877,tetracycline,S
1280.15878,ciprofloxacin,S
1280.15878,erythromycin,R
1280.15878,tetracycline,R
1280.15880,ciprofloxacin,R
1280.15880,erythromycin,S
1280.15880,tetracycline,R
1280.15881,ciprofloxacin,R
1280.15881,erythromycin,S
1280.15881,tetracycline,R
1280.15882,ciprofloxacin,R
1280.15882,erythromycin,S
1280.15882,tetracycline,R
1280.15883,ciprofloxacin,S
1280.15883,erythromycin,S
1280.15883,tetracycline,R
1280.15884,ciprofloxacin,R
1280.15884,erythromycin,S
1280.15884,tetracycline,R
1280.15885,ciprofloxacin,R
1280.15885,erythromycin,S
1280.15885,tetracycline,R
1280.15886,ciprofloxacin,R
1280.15886,erythromycin,S
1280.15886,tetracycline,R
1280.15887,ciprofloxacin,S
1280.15887,erythromycin,S
1280.15887,tetracycline,R
1280.15888,ciprofloxacin,R
1280.15888,erythromycin,S
1280.15888,tetracycline,R
1280.15889,ciprofloxacin,R
1280.15889,erythromycin,S
1280.15889,tetracycline,R
1280.15890,ciprofloxacin,R
1280.15890,erythromycin,S
1280.15890,tetracycline,R
1280.15891,ciprofloxacin,R
1280.15891,erythromycin,S
1280.15891,tetracycline,R
1280.15892,ciprofloxacin,S
1280.15892,erythromycin,S
1280.15892,tetracycline,R
1280.15893,ciprofloxacin,S
1280.15893,erythromycin,S
1280.15893,tetracycline,S
1280.15894,ciprofloxacin,S
1280.15894,erythromycin,S
1280.15894,tetracycline,R
1280.15895,ciprofloxacin,S
1280.15895,erythromycin,S
1280.15895,tetracycline,S
1280.15896,ciprofloxacin,S
1280.15896,erythromycin,S
1280.15896,tetracycline,R
1280.15897,ciprofloxacin,S
1280.15897,erythromycin,S
1280.15897,tetracycline,S
1280.15898,ciprofloxacin,S
1280.15898,erythromycin,S
1280.15898,tetracycline,S
1280.15899,ciprofloxacin,R
1280.15899,erythromycin,S
1280.15899,tetracycline,R
1280.15900,ciprofloxacin,S
1280.15900,erythromycin,S
1280.15900,tetracycline,S
1280.15901,ciprofloxacin,R
1280.15901,erythromycin,S
1280.15901,tetracycline,R
1280.15902,ciprofloxacin,S
1280.15902,erythromycin,S
1280.15902,tetracycline,S
1280.15903,ciprofloxacin,S
1280.15903,erythromycin,S
1280.15903,tetracycline,S
1280.15904,ciprofloxacin,S
1280.15904,erythromycin,S
1280.15904,tetracycline,R
1280.15905,ciprofloxacin,S
1280.15905,erythromycin,S
1280.15905,tetracycline,S
1280.15906,ciprofloxacin,S
1280.15906,erythromycin,S
1280.15906,tetracycline,S
1280.15907,ciprofloxacin,S
1280.15907,erythromycin,S
1280.15907,tetracycline,S
1280.15908,ciprofloxacin,S
1280.15908,erythromycin,S
1280.15908,tetracycline,R
1280.15909,ciprofloxacin,S
1280.15909,erythromycin,S
1280.15909,tetracycline,R
1280.15910,ciprofloxacin,R
1280.15910,erythromycin,S
1280.15910,tetracycline,R
1280.15911,ciprofloxacin,R
1280.15911,erythromycin,S
1280.15911,tetracycline,R
