Genome ID,Genome Name,cefoxitin,ciprofloxacin,erythromycin,tetracycline
1280.10000,Staphylococcus aureus C00013237,,resistant,resistant,susceptible
1280.10001,Staphylococcus aureus C00013238,,susceptible,susceptible,susceptible
1280.10002,Staphylococcus aureus C00013241,,susceptible,susceptible,susceptible
1280.10003,Staphylococcus aureus C00013242,,susceptible,susceptible,susceptible
1280.10004,Staphylococcus aureus C00013244,,susceptible,susceptible,susceptible
1280.10005,Staphylococcus aureus C00013245,,susceptible,susceptible,susceptible
1280.10006,Staphylococcus aureus C00013246,,susceptible,susceptible,susceptible
1280.10007,Staphylococcus aureus C00013247,,resistant,susceptible,susceptible
1280.10008,Staphylococcus aureus C00013251,,susceptible,susceptible,susceptible
1280.10009,Staphylococcus aureus C00013313,,susceptible,resistant,susceptible
1280.10010,Staphylococcus aureus C00013322,,susceptible,susceptible,susceptible
1280.10011,Staphylococcus aureus C00013321,,susceptible,susceptible,susceptible
1280.10012,Staphylococcus aureus C00013323,,susceptible,susceptible,susceptible
1280.10013,Staphylococcus aureus C00013327,,susceptible,susceptible,susceptible
1280.10014,Staphylococcus aureus C00013328,,susceptible,susceptible,susceptible
1280.10015,Staphylococcus aureus C00013329,,susceptible,susceptible,susceptible
1280.10016,Staphylococcus aureus C00013332,,susceptible,susceptible,susceptible
1280.10017,Staphylococcus aureus C00013333,,susceptible,susceptible,susceptible
1280.10018,Staphylococcus aureus C00013334,,susceptible,susceptible,resistant
1280.10019,Staphylococcus aureus C00013335,,susceptible,resistant,resistant
1280.10020,Staphylococcus aureus C00013339,,resistant,susceptible,susceptible
1280.10021,Staphylococcus aureus C00013342,,susceptible,susceptible,susceptible
1280.10022,Staphylococcus aureus C00013343,,susceptible,susceptible,susceptible
1280.10023,Staphylococcus aureus C00013347,,susceptible,susceptible,susceptible
1280.10024,Staphylococcus aureus C00013350,,susceptible,susceptible,susceptible
1280.10025,Staphylococcus aureus C00013351,,susceptible,susceptible,susceptible
1280.10026,Staphylococcus aureus C00013357,,susceptible,susceptible,susceptible
1280.10027,Staphylococcus aureus C00013358,,susceptible,susceptible,susceptible
1280.10028,Staphylococcus aureus C00013359,,susceptible,susceptible,susceptible
1280.10029,Staphylococcus aureus C00013363,,susceptible,susceptible,susceptible
1280.10030,Staphylococcus aureus C00013367,,susceptible,susceptible,susceptible
1280.10031,Staphylococcus aureus C00013364,,susceptible,susceptible,susceptible
1280.10032,Staphylococcus aureus C00013371,,susceptible,susceptible,susceptible
1280.10033,Staphylococcus aureus C00013373,,susceptible,susceptible,susceptible
1280.10034,Staphylococcus aureus C00013374,,susceptible,susceptible,susceptible
1280.10035,Staphylococcus aureus C00013376,,resistant,susceptible,susceptible
1280.10036,Staphylococcus aureus C00013377,,susceptible,susceptible,susceptible
1280.10037,Staphylococcus aureus C00013382,,susceptible,susceptible,susceptible
1280.10038,Staphylococcus aureus C00013384,,susceptible,susceptible,resistant
1280.10039,Staphylococcus aureus C00013388,,susceptible,susceptible,susceptible
1280.10040,Staphylococcus aureus C00013390,,susceptible,resistant,susceptible
1280.10041,Staphylococcus aureus C00013391,,susceptible,susceptible,susceptible
1280.10042,Staphylococcus aureus C00013393,,susceptible,susceptible,susceptible
1280.10043,Staphylococcus aureus C00013394,,susceptible,susceptible,susceptible
1280.10044,Staphylococcus aureus C00013395,,susceptible,susceptible,susceptible
1280.10045,Staphylococcus aureus C00013396,,susceptible,susceptible,resistant
1280.10046,Staphylococcus aureus C00013402,,susceptible,susceptible,susceptible
1280.10047,Staphylococcus aureus C00013404,,susceptible,susceptible,susceptible
1280.10048,Staphylococcus aureus C00013406,,susceptible,susceptible,susceptible
1280.10049,Staphylococcus aureus C00013408,,susceptible,susceptible,susceptible
1280.10948,Staphylococcus aureus strain 3688STDY6124971,susceptible,,susceptible,
1280.10994,Staphylococcus aureus strain 3688STDY6124848,susceptible,,susceptible,
1280.11011,Staphylococcus aureus strain 3688STDY6124900,susceptible,,susceptible,
1280.11024,Staphylococcus aureus strain 3688STDY6124922,susceptible,,susceptible,
1280.11026,Staphylococcus aureus strain 3688STDY6124923,susceptible,,susceptible,
1280.11029,Staphylococcus aureus strain 3688STDY6124926,susceptible,,susceptible,
1280.11030,Staphylococcus aureus strain 3688STDY6124927,susceptible,,susceptible,
1280.11031,Staphylococcus aureus strain 3688STDY6124929,susceptible,,susceptible,
1280.11032,Staphylococcus aureus strain 3688STDY6124930,susceptible,,susceptible,
1280.11033,Staphylococcus aureus strain 3688STDY6124931,susceptible,,susceptible,
1280.11036,Staphylococcus aureus strain 3688STDY6124933,resistant,,resistant,
1280.11037,Staphylococcus aureus strain 3688STDY6124934,susceptible,,susceptible,
1280.11038,Staphylococcus aureus strain 3688STDY6124935,susceptible,,susceptible,
1280.11039,Staphylococcus aureus strain 3688STDY6124936,susceptible,,susceptible,
1280.11040,Staphylococcus aureus strain 3688STDY6124937,susceptible,,susceptible,
1280.11042,Staphylococcus aureus strain 3688STDY6124878,susceptible,,susceptible,
1280.11043,Staphylococcus aureus strain 3688STDY6124939,susceptible,,susceptible,
1280.11049,Staphylococcus aureus strain 3688STDY6124949,susceptible,,susceptible,
1280.11050,Staphylococcus aureus strain 3688STDY6124879,susceptible,,resistant,
