Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,Bacterium
1280,1280.1588,Staphylococcus aureus strain B21_100115,tetracycline,,>=16,>=,16,mg/L,Broth dilution,,,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.30015,Staphylococcus aureus strain HICF0446,cefoxitin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.9963,Staphylococcus aureus C00012826,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.16384,Staphylococcus aureus strain AR462,erythromycin,Susceptible,==0.5,=,0.5,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,Staphylococcus aureus
1280,1280.11315,Staphylococcus aureus strain 3688STDY6125025,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26806258.0,Staphylococcus aureus
1280,1280.16061,Staphylococcus aureus strain AR466,tetracycline,Susceptible,<=1,<=,1,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,Staphylococcus aureus
1280,1280.8641,Staphylococcus aureus C00008633,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.8641,Staphylococcus aureus C00008633,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59625,Staphylococcus aureus CFSA17SA032,ciprofloxacin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.976,Staphylococcus aureus C00003127,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59765,Staphylococcus aureus CFSA12SA045,cefoxitin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.39701,Staphylococcus aureus 40149,ciprofloxacin,,24,,24,mg/L,Disk diffusion,,,,CLSI,2012.0,,,,Laboratory Method,,29295910.0,Staphylococcus aureus
1280,1280.29758,Staphylococcus aureus strain HICF0087,erythromycin,Susceptible,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.9761,Staphylococcus aureus C00003131,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.8282,Staphylococcus aureus C00013337,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.8456,Staphylococcus aureus C00000826,erythromycin,Resistant,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.51921,Staphylococcus aureus 14-01017,cefoxitin,Susceptible,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.8668,Staphylococcus aureus C00003394,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.15875,Staphylococcus aureus strain HCW05_100415,ciprofloxacin,,<=0.5,<=,0.5,mg/L,Broth dilution,,,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.29881,Staphylococcus aureus strain HICF0253,ciprofloxacin,Susceptible,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.51785,Staphylococcus aureus 09-02538,ciprofloxacin,Resistant,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.39738,Staphylococcus aureus Box1-21,ciprofloxacin,,22,,22,mg/L,Disk diffusion,,,,CLSI,2012.0,,,,Laboratory Method,,29295910.0,Staphylococcus aureus
